model,metallic,split
sketchfab-objaverse__59__59309f1dd9f54927b0d232a1e9de5ae2_None,5,val
sketchfab-objaverse__5d__5d515759044e4e1fa6193fb7af1ae05a,3,train
sketchfab-objaverse__5e__5e1abbdaeedb495e9242a8bc8a82aca0_None,5,train
sketchfab-objaverse__68__686de22e0c0c4c45a6c5561a9f3ed154_1,5,train
sketchfab-objaverse__6b__6b138bcc31ce4a8cad9897b2a789247c,4,val
sketchfab-objaverse__71__711d17ccc82741b68b67361734042d8c_None,3,train
sketchfab-objaverse__72__723c73c47e6f4a2eb80ce4ad9ce5a2ab_4,0,val
sketchfab-objaverse__77__774f786c41ec4a95a73daea458792fd3_None,4,val
sketchfab-objaverse__77__77b1ec98153943d0ae13f1e0a0201ba6_None,0,train
sketchfab-objaverse__79__79226d88141346a286fc223a2e15473b_None,1,test
sketchfab-objaverse__81__81f4eb26798e4fb29366797663f00671_1,3,train
sketchfab-objaverse__85__8550b054fb5e4b87a67b13725b11b0ed,5,train
sketchfab-objaverse__86__867264b22f1c4b8db31083638c5827f3_1,3,test
sketchfab-objaverse__89__89986433667840e5a188fb3c81fabfc3,4,train
sketchfab-objaverse__8b__8bc0ca023c874c619c7e497e556cfb63_4,1,val
sketchfab-objaverse__8c__8c994daeee9343b3a5e6669af6af669f,3,train
sketchfab-objaverse__8d__8df46c47099a4b9d9bc4a69edcad1b88_8,4,train
sketchfab-objaverse__95__952ff67efdf04f91a5adc6c6e188d693,0,test
sketchfab-objaverse__9a__9ab5bc855ed44b0a8041abd4d9e43189_None,3,train
sketchfab-objaverse__9e__9e8a808b1ced4101b88d479cd136dc20,1,train
sketchfab-objaverse__9f__9fb73e3c028d4c619b5eab4010c1e166,1,train
sketchfab-objaverse__a0__a0cb5b26e8f24a79900405cee5d494c4_1,3,test
sketchfab-objaverse__aa__aa10c88ff7914f709dba4b6b45abc2c4,4,train
sketchfab-objaverse__aa__aa1b92446a524e77b50b3e8391cf5325,5,train
sketchfab-objaverse__ab__aba5e5fcba3e44b5a064337a20e7fc87,4,train
sketchfab-objaverse__ac__ac67b2f2e1de48f68f1581892a94f334,5,test
sketchfab-objaverse__ac__ac91e19b6e584af68f0da3c7924cd7b3,5,train
sketchfab-objaverse__b1__b106e8e4c2974167993a454cd5d94ead_2,5,train
sketchfab-objaverse__b2__b26a0d54a722472cb7bf1e0a2a66ee6c_None,5,val
sketchfab-objaverse__b3__b30a03805f8347feaf40f48a3f8b82b4,5,train
sketchfab-objaverse__b3__b38612688a424cf3bc75780bfe2defab,1,train
sketchfab-objaverse__b5__b5648165558e40419f766989e461731d_4,1,test
sketchfab-objaverse__b5__b5c87f4ac60b4f5184805edebdd981f4,0,train
sketchfab-objaverse__b6__b62c84d3318d41f4a574ef5042c0adb7,5,train
sketchfab-objaverse__b9__b98e9090ab6b4c3d870ed7a7f0122153,3,train
sketchfab-objaverse__b9__b990475ed96d4c589c0a0a68ce33e236_4,5,test
sketchfab-objaverse__be__beba596b42f44eb38ebf9e0b83bc079f,0,train
sketchfab-objaverse__bf__bfa3cc50e3e849dab3e6c75574bfe936,4,train
sketchfab-objaverse__c0__c032274f530a4dd3a7d469f8f951008a_4,4,train
sketchfab-objaverse__c4__c42c5e927cd345b89f706f05d23a94f7_None,3,train
sketchfab-objaverse__c8__c87a8709a3594431a37782d016184c49,5,train
sketchfab-objaverse__ca__ca754d09e0ae42fdaf21b7c185f3a8cc_1,3,test
sketchfab-objaverse__cd__cdcee72dca234c3e911fe7b04a6ab288,5,val
sketchfab-objaverse__d4__d4749632737343089dfe5fd38c0da56c_1,5,val
sketchfab-objaverse__d6__d64b4704d7084897b2cca1e2843243c5,3,test
sketchfab-objaverse__d6__d6fabeb3e20946b19320f8b3f09957ee_21,0,train
sketchfab-objaverse__d7__d730ac350f534393bc7e84b39cd80710,0,test
sketchfab-objaverse__db__db01789d438149f4b4e3eeb1a868234f_3,5,train
sketchfab-objaverse__e6__e625bca595b145018186ba77e1e04f5b_None,5,train
sketchfab-objaverse__e6__e6b035ba78124c3cb649905594bffdaf_1,3,train
sketchfab-objaverse__e7__e71e58c8927d4de4b9dbf9b665c30c9f,0,train
sketchfab-objaverse__e8__e85644abcdbc4dd6bfaf8523aa4b4a76_2,1,train
sketchfab-objaverse__ea__ea2a8f4ddbc749a4ae6cfeb70285baa7,5,train
sketchfab-objaverse__ee__eef71493c41d4b3b8b418ebca140888a_None,0,test
sketchfab-objaverse__f7__f79f9ca5c5584a668c4e371052f2a08f_2,5,train
sketchfab-objaverse__fd__fdc81e081b8741f58b4f517218d55a28_1,5,train
sketchfab__00__0012bcc05429449c951b57fcc799862c_1,3,train
sketchfab__01__0103cee67a4f4895b973de3501e7705d,3,test
sketchfab__01__019284270ba7402f9a4f6da0a49510ed,1,test
sketchfab__01__01cce45061d946729e43b69ae5bf80cc,3,train
sketchfab__01__01e7635d7401478286a27bc6126d17e5,1,val
sketchfab__02__029470093cc04c41b7d6c75ce94fe2a1,4,test
sketchfab__02__02dac1b8a9b34174ba4127231cdd0693_3,0,test
sketchfab__03__034920cbbdbb4129b2263b7e9fa0ccc6,3,train
sketchfab__03__034b823e778542678285e5ca636c46c0,5,train
sketchfab__04__045bc9ced34f4746a56e0ff97b42cfbc,5,test
sketchfab__04__04c06fd9bd0d4c66a6d57c2d5de72c88_4,5,test
sketchfab__05__059be2b6a0204e369dd6ce32b49a309c_1,1,train
sketchfab__05__05df9f73d9514527a43a99947a245249,5,train
sketchfab__06__06fea38441d746a79f52bca8037bfc12,0,train
sketchfab__07__07228de2ee2b44ce9aac922496b3d3a8_None,3,train
sketchfab__07__0755ce913fca4985a457a5eb205d8d84_13,1,train
sketchfab__07__0768327c15a14fb38d23000ce9ff65f8,0,train
sketchfab__08__083b14363e734bf0a47d334f8cbcdaa3,3,train
sketchfab__09__0934ce41ef414389bbe65faf81a796ac_7,5,train
sketchfab__0a__0aa445e3f39a4bee94c391c0330c6f98,0,train
sketchfab__0b__0b494edcfaa644e9863c09ea053396b4_carrot-character_2,5,train
sketchfab__0b__0bc43737bc0643c589480e222307c8cd_None,1,train
sketchfab__0c__0c0a6f6ecefa4d6486fc3d5cd2ed0582,5,val
sketchfab__0d__0d01ee4fbed04973956b59fedd3fcad5,4,train
sketchfab__0d__0d95daeb3a2f4771b2315e85803d6a24,5,train
sketchfab__0d__0dc11b8edbe84faeb8d94dbf631165e0,1,test
sketchfab__0d__0dd2e63b1b4142c7825ac4a0b28b0057_None,5,train
sketchfab__0e__0e34cc008f104d8d8f6e923d9a1329c1,4,train
sketchfab__0e__0e6b75e3f2854221aaa882c39f8482a7_None,4,train
sketchfab__0f__0f215eff00d14370af3a9fa1dcd17d84,3,train
sketchfab__0f__0f35ca78a97e4e029b9f766b372dbc53,1,train
sketchfab__0f__0f5397812ceb4a0391e3786ddd71423e_4,1,train
sketchfab__0f__0f60c375fdfc42fb81a9e9e7746e707d_8,0,val
sketchfab__0f__0f846c7247044bd59f39c9471c47e919,3,train
sketchfab__10__10948969f21f4914bb14e5334422ce8f_3,5,train
sketchfab__10__10e0eb0d5f5a4c2aa4aae5ebf8fa05de_1,5,train
sketchfab__11__11257d3c62eb451bb94e198b0fb9361f_5,0,train
sketchfab__11__114ffcd032634e92bf1cf8c3ffe7a7bd,3,train
sketchfab__11__11b2b2e304f04b6bb94c2da0af8e1fac_None,1,train
sketchfab__11__11b3c48b3acc407a87e9438ece5dcf20_None,5,train
sketchfab__12__128a3b0485c847feaaac0e3633337731,1,train
sketchfab__12__12acb774bbe143cfa90a7ba63b2578ec_7,0,train
sketchfab__13__133fd8f77356473aa089c332a94bb858,5,test
sketchfab__13__1399c4865a1b43fcab70bfebe81d2f06_panda-raptor-rocketeer,2,train
sketchfab__14__1437c88951604bbfa262690438685581_None,2,train
sketchfab__15__152c6ffd1bc3459190257dbe7c796769_machine-parts_3,5,test
sketchfab__15__1592321151864ef780860f40e1f38a8f,5,train
sketchfab__15__15ac6f4e11c142edad193bf5fbe48a2b_None,3,train
sketchfab__15__15d08bd2b34a492eb0424f2d0c6a8360_5,4,train
sketchfab__16__165fb48fd41e46b8a21f4a46a0b57528_amazon-echo-and-google-home_2,5,train
sketchfab__16__16622c087dce463a8498fb12a70db8b8,5,train
sketchfab__16__16d0b7ea75c34f42bc95ddb0ba5ea533,0,train
sketchfab__18__1857c89c824b4b14aefb983b92bdd6f6,0,test
sketchfab__18__18b2f4edf8f84b3dbe93c97b8d0a40ac,5,train
sketchfab__19__190105882346447d9804b45ed5562572_creature-concept-01_None,5,train
sketchfab__19__19315162be9546c9bc5a005bcd51c47e_5,5,test
sketchfab__19__19de09ab8b1f41a392f4a8bf0ddf0fbb,5,test
sketchfab__1a__1a3b0a1ec8c349a5be20cf66ee2a1d92_wooden-bookshelf,5,train
sketchfab__1a__1aa9acedd7a74fb68cd9931dda3d9238,1,train
sketchfab__1a__1acb42aa0c6a426fb5339f640a21b72e_2,2,test
sketchfab__1b__1b20e8217ccf43129321396d451ebbdc,3,test
sketchfab__1b__1b4352c1611b44bc9beb0f44918718b4,5,train
sketchfab__1b__1b7d3030809740e58d7d4cdabc3e8411_arafa-dentatus_None,0,test
sketchfab__1b__1bb5b44e9b3a47a3b90d748766b80d24,0,test
sketchfab__1b__1bd4d6e3e7d74f2c9ad38b9264ef3ffe,5,train
sketchfab__1c__1c2695c790de4dcb99a81431f69dbb1c,0,val
sketchfab__1c__1c47212874404ed9b5b62c5f20d55fd5,1,train
sketchfab__20__20c362331c9d40e28d354a61e6cbee29_1,5,train
sketchfab__21__2190c0b5ebd64acaba39758473ff769b_None,5,train
sketchfab__21__21ceb3455c3349bfa31d2abdfd44b6cb_2,3,val
sketchfab__21__21e42f703fea433e8f7e57cdfcef6217,0,train
sketchfab__23__2373b3611da84ddd818c77fde5e8cbb1_aks-74u_None,4,val
sketchfab__24__24751a3cf4704d01b90669272794490d,3,val
sketchfab__25__252b175697b643d1860753534f6ee894,1,train
sketchfab__25__2532e6c9bfc74fa7bdcf485057269176,0,train
sketchfab__25__25d8833e33d24552b2b36dc7df5fedd1,3,train
sketchfab__25__25dd7156eba247458b9ae77234db397a,3,train
