model_name,x,y,model_name,batch,tier,final_score,pbr_type,base_color_score,normal_score,roughness_score,metallic_score,normal_map_expected_score,normal_map_pred_score,roughness_expected_score,roughness_pred_score,metallic_expected_score,metallic_pred_score,base_color_expected_score,base_color_pred_score
3d66__7__7150_办公椅07,-3.3023643493652344,-23.35182762145996,3d66__7__7150_办公椅07,batch_1,Tier 5 (勉强可用),1.0,physical,2,0,2,0,0.037387073040008545,0,1.8910467624664307,0,4.222294807434082,5,2.118908405303955,0
3d66__7__71279_灯3,-23.645977020263672,-18.021526336669922,3d66__7__71279_灯3,batch_1,Tier 5 (勉强可用),0.69,physical,2,0,1,0,0.04428912699222565,0,0.5950242877006531,0,0.8539654612541199,0,2.5688488483428955,5
3d66__7__77492_椅子001_None,-68.53636169433594,-3.5183308124542236,3d66__7__77492_椅子001_None,batch_1,Tier 4 (手游级),1.6,physical,2,0,1,5,9.769197322433533e-16,0,0.5458759069442749,0,4.6286773681640625,5,2.273791790008545,0
3d66__8__82254_沙发,-61.998779296875,3.147901773452759,3d66__8__82254_沙发,batch_1,Tier 5 (勉强可用),0.73,physical,3,0,0,0,6.768133609114102e-09,0,0.049865029752254486,0,2.1178603172302246,0,3.119412899017334,5
3d66__8__87029_沙发002,5.637167930603027,-42.72468185424805,3d66__8__87029_沙发002,batch_1,Tier 4 (手游级),1.6,physical,2,0,1,5,0.004814839921891689,0,0.4640505909919739,0,4.956808090209961,5,2.3725035190582275,0
3d66__8__87386_椅子001,-52.978424072265625,-10.352030754089355,3d66__8__87386_椅子001,batch_1,Tier 4 (手游级),1.94,physical,3,0,2,5,2.594964644231368e-05,0,0.5550425052642822,0,4.363550662994385,5,1.652212381362915,0
3d66__8__87510_摆件-9,-10.594097137451172,-30.383901596069336,3d66__8__87510_摆件-9,batch_1,Incorrect (不可用),0.46,physical,0,0,1,1,0.030021976679563522,0,0.09392128884792328,0,2.0415420532226562,0,1.1578760147094727,0
3d66__9__90901_猫004,32.906986236572266,-2.731236219406128,3d66__9__90901_猫004,batch_1,Tier 4 (手游级),1.86,physical,5,0,0,5,0.6431806683540344,0,0.9794139862060547,0,4.984894752502441,5,3.9895243644714355,5
3d66__9__94639_桌子,9.887229919433594,-40.57609939575195,3d66__9__94639_桌子,batch_1,Tier 4 (手游级),1.79,physical,3,0,1,5,0.0016811726382002234,0,0.6191428899765015,0,4.85665225982666,5,2.9433226585388184,5
3d66__9__96388_床头柜3,-49.39015579223633,-10.965909004211426,3d66__9__96388_床头柜3,batch_1,Tier 4 (手游级),1.6,physical,2,0,1,5,5.148169748281362e-07,0,0.8850107192993164,0,4.819977283477783,5,1.6968190670013428,0
3d66__9__98116_户外石块2_None,47.09379196166992,-14.727775573730469,3d66__9__98116_户外石块2_None,batch_1,Tier 4 (手游级),2.13,physical,4,0,2,5,0.057528406381607056,0,0.7963336706161499,0,4.9894232749938965,5,4.413266181945801,5
abo__3__B07HSHTN13,-5.686413288116455,-30.29654312133789,abo__3__B07HSHTN13,batch_1,Incorrect (不可用),0.46,physical,0,0,2,0,0.20429402589797974,0,0.5839977860450745,0,0.055635370314121246,0,2.9935309886932373,5
abo__W__B07B4SCN5W,4.13820219039917,-45.789527893066406,abo__W__B07B4SCN5W,batch_1,Tier 5 (勉强可用),1.45,physical,2,0,2,3,0.007874034345149994,0,0.39780476689338684,0,3.2283027172088623,5,1.1275897026062012,0
games__APEX__ptpov_bolo_sword_ash_LOD0_None,-13.78001880645752,48.91231918334961,games__APEX__ptpov_bolo_sword_ash_LOD0_None,batch_1,Tier 3 (游戏级),2.69,physical,3,3,3,2,4.0299577713012695,5,1.9964256286621094,0,4.807162761688232,5,2.5425500869750977,5
games__Bassmaster_Fishing__062_SM_Microphone01_Microphone01_with_tex_None,-16.310476303100586,32.32631301879883,games__Bassmaster_Fishing__062_SM_Microphone01_Microphone01_with_tex_None,batch_1,Tier 4 (手游级),1.69,physical,2,2,0,3,1.2482893466949463,0,0.1183868944644928,0,1.8206589221954346,0,3.14212703704834,5
games__Counter_Strike_2__dust_kasbah_merlon002b,44.450157165527344,-14.973078727722168,games__Counter_Strike_2__dust_kasbah_merlon002b,batch_1,Tier 3 (游戏级),2.88,physical,3,4,0,5,4.598592758178711,5,0.17657512426376343,0,4.96586275100708,5,4.11504602432251,5
games__Counter_Strike_2__dust_kasbah_mudbrick_pile_04,64.78776550292969,-23.19771957397461,games__Counter_Strike_2__dust_kasbah_mudbrick_pile_04,batch_1,Tier 3 (游戏级),2.72,physical,4,3,0,5,3.6356849670410156,5,0.10934527963399887,0,4.968780994415283,5,4.140675067901611,5
games__Counter_Strike_2__xen_fin002_None,51.43936538696289,-9.284761428833008,games__Counter_Strike_2__xen_fin002_None,batch_1,Tier 3 (游戏级),3.11,physical,2,3,3,5,3.3957948684692383,5,2.4420502185821533,3,4.978471755981445,5,4.100551128387451,5
games__Darksiders_Genesis__376_SM_PROXY_Dn_HL_Wood_Barrel_C_2,23.674375534057617,-43.40791702270508,games__Darksiders_Genesis__376_SM_PROXY_Dn_HL_Wood_Barrel_C_2,batch_1,Tier 5 (勉强可用),1.04,stylized,3,0,1,0,0.1763361394405365,0,0.06553921848535538,0,4.844089984893799,5,3.6256470680236816,5
games__Resident_Evil_3__1725_sm73_201_warehousekey01a_00mdmesh_None,-6.881832599639893,46.86552047729492,games__Resident_Evil_3__1725_sm73_201_warehousekey01a_00mdmesh_None,batch_1,Tier 2 (高级/AAA),3.96,stylized,3,4,4,5,4.821557998657227,5,4.462117671966553,5,3.7579517364501953,5,3.180222511291504,5
games__Scholars_Mate__413_SM_Key_0_None,-27.906396865844727,-27.105918884277344,games__Scholars_Mate__413_SM_Key_0_None,batch_1,Tier 5 (勉强可用),1.19,physical,3,0,1,1,0.8334108591079712,0,0.3108195960521698,0,0.0067514521069824696,0,3.1636946201324463,5
kitbash__414c070f8eacb379242d579dc2819c442d1b2a15df76e812c362907cb4b03823,58.25272750854492,-27.958274841308594,kitbash__414c070f8eacb379242d579dc2819c442d1b2a15df76e812c362907cb4b03823,batch_1,Tier 2 (高级/AAA),3.65,physical,4,3,3,5,4.8415398597717285,5,3.512131929397583,5,4.999637126922607,5,3.840463638305664,5
kitbash__0690de6307f712af6c45c9d92ae97d4cb8e1f4e7cf9dd9ed3f863323c3822805,1.4831515550613403,-11.717617988586426,kitbash__0690de6307f712af6c45c9d92ae97d4cb8e1f4e7cf9dd9ed3f863323c3822805,batch_1,Tier 2 (高级/AAA),3.6,physical,4,5,3,0,4.303341865539551,5,2.7907309532165527,5,3.9458587169647217,5,4.421381950378418,5
kitbash__da505a890321e2117837eaa5b0926d19b40ad954d4a499ffce16bb0bf2746cff,6.784545421600342,0.48631224036216736,kitbash__da505a890321e2117837eaa5b0926d19b40ad954d4a499ffce16bb0bf2746cff,batch_1,Tier 4 (手游级),1.99,physical,3,1,5,0,1.1160303354263306,0,4.997669219970703,5,0.6351243257522583,0,3.776313066482544,5
pbrmax__7481_Door,-19.31584930419922,-4.279718399047852,pbrmax__7481_Door,batch_1,Tier 4 (手游级),2.22,physical,5,1,1,3,0.7273951768875122,0,0.9614500999450684,0,2.289641857147217,0,4.2241597175598145,5
pbrmax__10034_MD_Stone_10,46.55512237548828,-5.748531818389893,pbrmax__10034_MD_Stone_10,batch_1,Tier 3 (游戏级),2.65,physical,3,2,1,5,2.0276949405670166,0,0.23559853434562683,0,4.979850769042969,5,3.9833931922912598,5
pbrmax__PlayingCard,28.26529884338379,-40.822933197021484,pbrmax__PlayingCard,batch_1,Tier 2 (高级/AAA),3.53,physical,5,3,2,5,3.512418508529663,5,0.9876569509506226,0,4.933190822601318,5,4.171247959136963,5
sketchfab__01__019284270ba7402f9a4f6da0a49510ed,17.38908576965332,37.842037200927734,sketchfab__01__019284270ba7402f9a4f6da0a49510ed,batch_1,Tier 3 (游戏级),2.72,physical,5,2,4,1,2.766423225402832,5,4.810049057006836,5,0.15809366106987,0,3.895510196685791,5
sketchfab__1b__1b4352c1611b44bc9beb0f44918718b4,54.396305084228516,-9.095320701599121,sketchfab__1b__1b4352c1611b44bc9beb0f44918718b4,batch_1,Tier 4 (手游级),2.28,stylized,4,0,3,5,3.5967507362365723,5,2.7641870975494385,5,4.990550518035889,5,4.136371612548828,5
sketchfab__2d__2d55096ce4a5405f9aa6241843aef346,-10.958396911621094,-14.785394668579102,sketchfab__2d__2d55096ce4a5405f9aa6241843aef346,batch_1,Tier 3 (游戏级),2.74,physical,3,4,3,0,4.8389506340026855,5,1.7175501585006714,0,3.1743807792663574,5,4.336618423461914,5
sketchfab__3d__3d9197a9cddf40a3950ddaf3482cb4ff_1,-16.17900276184082,1.7430706024169922,sketchfab__3d__3d9197a9cddf40a3950ddaf3482cb4ff_1,batch_1,Tier 5 (勉强可用),1.15,physical,2,0,2,1,3.9108996391296387,5,1.6873397827148438,0,2.167358875274658,0,3.1739253997802734,5
sketchfab__4c__4cd31f389220417c88958f3e76927625_None,10.091320991516113,36.5968132019043,sketchfab__4c__4cd31f389220417c88958f3e76927625_None,batch_1,Tier 4 (手游级),2.37,physical,5,1,5,0,0.8091988563537598,0,4.967809677124023,5,0.5519205331802368,0,4.2139787673950195,5
sketchfab__5e__5ebe058e57f045f6b4c8a53b0f03dca7_mushroom-2_3,59.51659393310547,-7.909332752227783,sketchfab__5e__5ebe058e57f045f6b4c8a53b0f03dca7_mushroom-2_3,batch_1,Tier 2 (高级/AAA),4.04,physical,4,5,2,5,4.999724388122559,5,2.3695600032806396,2,4.9588470458984375,5,4.077793598175049,5
sketchfab__6a__6a79ecac8914436fa1f3b0a6ac2cb364,27.54424476623535,24.166297912597656,sketchfab__6a__6a79ecac8914436fa1f3b0a6ac2cb364,batch_1,Tier 3 (游戏级),2.74,physical,3,4,3,0,3.8817930221557617,5,3.0870213508605957,5,2.844877243041992,5,3.7769768238067627,5
sketchfab__6d__6d631c2805f34654923325dde0e8011c,0.6420943140983582,32.956687927246094,sketchfab__6d__6d631c2805f34654923325dde0e8011c,batch_1,Tier 4 (手游级),1.89,stylized,3,2,1,1,2.142345905303955,0,0.3037436604499817,0,3.6107230186462402,5,2.810837984085083,5
sketchfab__07__0768327c15a14fb38d23000ce9ff65f8,-31.943084716796875,1.8577128648757935,sketchfab__07__0768327c15a14fb38d23000ce9ff65f8,batch_1,Tier 5 (勉强可用),0.85,physical,2,0,1,0,4.641099803848192e-05,0,0.7507205009460449,0,0.006165788043290377,0,3.1669530868530273,5
sketchfab__7b__7b986cc4915a4efea8e0d8c171bb419f_4,-10.952777862548828,49.074378967285156,sketchfab__7b__7b986cc4915a4efea8e0d8c171bb419f_4,batch_1,Tier 3 (游戏级),3.23,physical,4,4,3,2,3.4300920963287354,5,2.2913293838500977,0,3.453566551208496,5,3.579179525375366,5
sketchfab__08__083b14363e734bf0a47d334f8cbcdaa3,-19.42624855041504,27.469953536987305,sketchfab__08__083b14363e734bf0a47d334f8cbcdaa3,batch_1,Tier 3 (游戏级),2.69,physical,3,3,2,3,2.8726911544799805,5,0.8289502859115601,0,2.4002723693847656,0,2.3223536014556885,0
sketchfab__8a__8a96a390e83646f48ac6e00fd74c1868,28.348731994628906,-21.54765510559082,sketchfab__8a__8a96a390e83646f48ac6e00fd74c1868,batch_1,Tier 4 (手游级),1.94,physical,3,0,2,5,0.9217095375061035,0,1.7645663022994995,0,4.85774564743042,5,3.5911388397216797,5
sketchfab__8a__8ae5289752344d91899ad2dd380acdb3,30.082874298095703,-42.08723068237305,sketchfab__8a__8ae5289752344d91899ad2dd380acdb3,batch_1,Tier 4 (手游级),2.49,physical,3,2,1,5,0.6996699571609497,0,0.9493726491928101,0,4.919314384460449,5,2.937342882156372,5
sketchfab__8d__8dc8e51123c54d3b960c18c9d21873e4,30.24437713623047,-37.961814880371094,sketchfab__8d__8dc8e51123c54d3b960c18c9d21873e4,batch_1,Tier 2 (高级/AAA),3.81,physical,3,4,3,5,4.035323143005371,5,3.6198434829711914,5,4.937379837036133,5,3.937174081802368,5
sketchfab__8f__8fa265d8f4a7476fbf7642f66cd98a73,27.920564651489258,29.571809768676758,sketchfab__8f__8fa265d8f4a7476fbf7642f66cd98a73,batch_1,Tier 4 (手游级),2.17,physical,5,0,2,4,2.8703596591949463,5,2.221478223800659,0,4.123185157775879,5,3.772456645965576,5
sketchfab__9d__9dc3f3270031471e88614aeb64036f1b,-12.9383544921875,-21.329408645629883,sketchfab__9d__9dc3f3270031471e88614aeb64036f1b,batch_1,Tier 4 (手游级),1.79,physical,3,0,3,3,0.18448448181152344,0,2.625213146209717,3,2.3007113933563232,0,2.820880889892578,5
sketchfab__9f__9f66b65adf924da08947e5af8abee43e,16.27090072631836,32.264434814453125,sketchfab__9f__9f66b65adf924da08947e5af8abee43e,batch_1,Tier 2 (高级/AAA),3.54,stylized,4,4,1,5,4.486239433288574,5,0.6291681528091431,0,4.727672100067139,5,4.042349338531494,5
sketchfab__13__1399c4865a1b43fcab70bfebe81d2f06_panda-raptor-rocketeer,19.169628143310547,37.800872802734375,sketchfab__13__1399c4865a1b43fcab70bfebe81d2f06_panda-raptor-rocketeer,batch_1,Tier 2 (高级/AAA),4.05,stylized,4,5,4,2,4.988575458526611,5,4.675469875335693,5,0.8554805517196655,0,4.206228733062744,5
sketchfab__15__15d08bd2b34a492eb0424f2d0c6a8360_5,19.66234588623047,43.70732879638672,sketchfab__15__15d08bd2b34a492eb0424f2d0c6a8360_5,batch_1,Tier 2 (高级/AAA),3.5,physical,3,4,3,4,4.6596293449401855,5,3.7667288780212402,5,4.144414901733398,5,3.1776106357574463,5
sketchfab__19__19de09ab8b1f41a392f4a8bf0ddf0fbb,34.014442443847656,21.17611312866211,sketchfab__19__19de09ab8b1f41a392f4a8bf0ddf0fbb,batch_1,Tier 1 (电影级),4.5,physical,4,5,4,5,4.996675491333008,5,4.744210720062256,5,4.092813968658447,5,4.163677215576172,5
sketchfab__31__318886199c3040998dc73b58b381f555,36.28998565673828,30.26498794555664,sketchfab__31__318886199c3040998dc73b58b381f555,batch_1,Tier 3 (游戏级),3.04,stylized,3,4,5,0,4.7098774909973145,5,4.6923089027404785,5,0.29601794481277466,0,3.090243339538574,5
sketchfab__33__3344bf40db54485bb52c7497a03e39ce,-41.67258071899414,12.031952857971191,sketchfab__33__3344bf40db54485bb52c7497a03e39ce,batch_1,Tier 4 (手游级),1.64,physical,3,0,2,3,0.0020063535775989294,0,2.2444915771484375,0,2.5588126182556152,5,3.984282970428467,5
sketchfab__37__378756bb640946b6abeb5e06b495acdc,51.9295539855957,-20.727998733520508,sketchfab__37__378756bb640946b6abeb5e06b495acdc,batch_1,Tier 3 (游戏级),3.3,physical,3,3,3,5,2.5735857486724854,5,2.7442374229431152,5,4.9599223136901855,5,3.6389894485473633,5
sketchfab__39__39408e43e0f24d32a0d9368eb2526d77,27.03360939025879,25.988920211791992,sketchfab__39__39408e43e0f24d32a0d9368eb2526d77,batch_1,Tier 4 (手游级),2.28,physical,4,0,4,4,1.2580177783966064,0,4.4666242599487305,5,3.9147801399230957,5,4.189126968383789,5
sketchfab__44__44bd03dc8129430f8d0ea882e89b03b4_6,24.550216674804688,14.706279754638672,sketchfab__44__44bd03dc8129430f8d0ea882e89b03b4_6,batch_1,Tier 5 (勉强可用),1.35,stylized,2,1,2,0,1.5416882038116455,0,0.8299233913421631,0,0.05706215277314186,0,2.840555191040039,5
sketchfab__54__54d2a00593b84b00aa60dac8f291de49,31.801862716674805,1.7373967170715332,sketchfab__54__54d2a00593b84b00aa60dac8f291de49,batch_1,Tier 3 (游戏级),2.95,stylized,3,2,3,5,2.696474552154541,5,1.4244520664215088,0,4.966770172119141,5,3.0864710807800293,5
sketchfab__58__581d65bddac94ea288487a34ae13581e,-26.008628845214844,2.500891923904419,sketchfab__58__581d65bddac94ea288487a34ae13581e,batch_1,Tier 5 (勉强可用),1.49,physical,3,0,3,1,0.0028740374837070704,0,3.6879968643188477,5,0.00013678765390068293,0,3.7927627563476562,5
sketchfab__58__58672d184b9f43cf8f31980592c89cdb,-20.638395309448242,17.495765686035156,sketchfab__58__58672d184b9f43cf8f31980592c89cdb,batch_1,Tier 5 (勉强可用),1.19,stylized,3,0,2,0,0.02265087142586708,0,1.0967222452163696,0,2.139693260192871,0,2.822948932647705,5
sketchfab__63__6355c33779b44dbbb054c12dad3f58ba,31.839372634887695,-4.352224826812744,sketchfab__63__6355c33779b44dbbb054c12dad3f58ba,batch_1,Tier 4 (手游级),2.3,stylized,3,1,1,5,0.1318572759628296,0,1.1586002111434937,0,4.979033470153809,5,2.494486093521118,0
sketchfab__64__64ade6c06cf74a45a057dae5a3183b6b,13.122161865234375,41.662052154541016,sketchfab__64__64ade6c06cf74a45a057dae5a3183b6b,batch_1,Tier 2 (高级/AAA),4.0,physical,4,4,4,4,3.6414289474487305,5,4.879081726074219,5,3.8406598567962646,5,3.4374840259552,5
sketchfab__65__6560a36d77f24f3fabdaa028f1961727_None,-55.544525146484375,-2.863231658935547,sketchfab__65__6560a36d77f24f3fabdaa028f1961727_None,batch_1,Tier 5 (勉强可用),1.0,physical,2,0,1,1,1.6359322785319819e-07,0,0.10293438285589218,0,0.039078667759895325,0,1.8081365823745728,0
sketchfab__80__80af523000014ecfbcbb0fb07bea8486_None,4.534518241882324,-6.968605041503906,sketchfab__80__80af523000014ecfbcbb0fb07bea8486_None,batch_1,Tier 4 (手游级),1.64,stylized,3,0,2,3,0.6647003889083862,0,1.4857306480407715,0,0.8435859680175781,0,2.8705804347991943,5
sketchfab__82__82161289759e4375aa04cb7af77a5bad,-20.42250633239746,10.162750244140625,sketchfab__82__82161289759e4375aa04cb7af77a5bad,batch_1,Tier 4 (手游级),2.15,physical,2,2,2,3,1.6648082733154297,0,0.6664559841156006,0,2.1030492782592773,0,2.362577438354492,0
sketchfab__85__8599f04719d642bea1f0e4093cc0ba46,40.368675231933594,-33.12821960449219,sketchfab__85__8599f04719d642bea1f0e4093cc0ba46,batch_1,Tier 2 (高级/AAA),3.54,physical,4,4,1,5,3.1092896461486816,5,1.6694846153259277,0,4.748084545135498,5,4.562054634094238,5
sketchfab__90__90977079afd0491280481f9401894228,24.136972427368164,-4.07228422164917,sketchfab__90__90977079afd0491280481f9401894228,batch_1,Tier 3 (游戏级),2.58,physical,0,3,2,5,2.1180760860443115,0,1.2706197500228882,0,4.399591445922852,5,1.716623067855835,0
sketchfab__96__96b29890686948f5ad0f980d4ed27925_steampunk-hay-pulley_2,5.225457191467285,26.6815242767334,sketchfab__96__96b29890686948f5ad0f980d4ed27925_steampunk-hay-pulley_2,batch_1,Tier 4 (手游级),2.04,physical,3,2,2,1,1.98191499710083,0,1.1473428010940552,0,2.792874336242676,5,3.5686450004577637,5
sketchfab__a3__a32223be397048cb8a573ce662e626fb,-10.704944610595703,-13.353699684143066,sketchfab__a3__a32223be397048cb8a573ce662e626fb,batch_1,Tier 4 (手游级),2.33,physical,4,1,3,3,1.2556592226028442,0,4.696013927459717,5,2.1652820110321045,0,4.48523473739624,5
sketchfab__a8__a8d49725ef384e39bba4f6843095f0c8,12.766911506652832,17.63112449645996,sketchfab__a8__a8d49725ef384e39bba4f6843095f0c8,batch_1,Tier 4 (手游级),2.44,physical,3,4,1,0,2.313345432281494,0,0.4203026294708252,0,1.8424971103668213,0,3.85534405708313,5
sketchfab__a9__a96c057d4bb342f68d299baf05821bed_8,-24.084257125854492,-7.05864143371582,sketchfab__a9__a96c057d4bb342f68d299baf05821bed_8,batch_1,Tier 4 (手游级),1.68,physical,4,0,3,1,0.028034254908561707,0,3.0239312648773193,5,2.5615854263305664,5,3.634443759918213,5
sketchfab__a9__a9709b36066841c8ac8c76cbe11dddbd,-5.380245685577393,43.19985580444336,sketchfab__a9__a9709b36066841c8ac8c76cbe11dddbd,batch_1,Tier 4 (手游级),2.19,physical,3,2,3,1,1.0279531478881836,0,4.118152618408203,5,3.9884374141693115,5,3.4516124725341797,5
sketchfab__ac__acf6830bd1d043cdb2efdac2eaea12b0_None,14.29037094116211,20.848804473876953,sketchfab__ac__acf6830bd1d043cdb2efdac2eaea12b0_None,batch_1,Tier 2 (高级/AAA),3.5,stylized,3,4,2,5,4.090387344360352,5,0.5099895596504211,0,4.410477638244629,5,2.883751392364502,5
sketchfab__af__afe3b6618d474a3a801d04ad368f441d,21.604894638061523,56.61997985839844,sketchfab__af__afe3b6618d474a3a801d04ad368f441d,batch_1,Tier 2 (高级/AAA),3.77,physical,5,5,4,1,4.999758720397949,5,4.789504051208496,5,2.149000644683838,0,3.9523513317108154,5
sketchfab__b3__b3633364d9c64c55ba5f50ba9e032011,-27.35688018798828,-25.368030548095703,sketchfab__b3__b3633364d9c64c55ba5f50ba9e032011,batch_1,Incorrect (不可用),0.31,physical,0,0,1,0,0.008451844565570354,0,0.3577006161212921,0,0.018396712839603424,0,0.822355329990387,0
sketchfab__b4__b40161aae69a4c6a9d1dceea1b8d7eb7_None,37.089317321777344,-4.541569232940674,sketchfab__b4__b40161aae69a4c6a9d1dceea1b8d7eb7_None,batch_1,Tier 3 (游戏级),3.0,stylized,3,3,1,5,3.2947957515716553,5,0.44144830107688904,0,4.887478828430176,5,2.9320762157440186,5
sketchfab__bc__bcb003dcc3864bc4826959c6648e764b,37.9756965637207,-1.9794408082962036,sketchfab__bc__bcb003dcc3864bc4826959c6648e764b,batch_1,Tier 2 (高级/AAA),3.69,physical,5,3,2,5,3.2482051849365234,5,0.6089465618133545,0,4.878913879394531,5,4.009286880493164,5
sketchfab__bf__bf6ef32bc2db44a99c874830c67cc3fe,-3.6124470233917236,56.67824935913086,sketchfab__bf__bf6ef32bc2db44a99c874830c67cc3fe,batch_1,Tier 4 (手游级),2.04,physical,3,2,2,1,2.5699095726013184,5,2.4260339736938477,2,1.1753329038619995,0,3.479677200317383,5
sketchfab__c8__c8c5382a9f574578922316f94b24b89b_4,-25.1825008392334,-8.732595443725586,sketchfab__c8__c8c5382a9f574578922316f94b24b89b_4,batch_1,Tier 5 (勉强可用),1.45,physical,2,0,2,3,0.01973714306950569,0,1.6619195938110352,0,2.3028149604797363,0,1.3884398937225342,0
sketchfab__ce__cecee2c122174a39bb665cea75aa171a_6,-15.816909790039062,-30.680543899536133,sketchfab__ce__cecee2c122174a39bb665cea75aa171a_6,batch_1,Tier 4 (手游级),1.73,physical,4,1,2,0,0.6574626564979553,0,1.4334416389465332,0,0.010899088345468044,0,3.596724510192871,5
sketchfab__d2__d28d9975936147eaa2daf5ef72282bf0_doors,-50.15745162963867,3.6814701557159424,sketchfab__d2__d28d9975936147eaa2daf5ef72282bf0_doors,batch_1,Tier 5 (勉强可用),1.07,stylized,4,0,0,1,4.780250947078457e-06,0,0.34570592641830444,0,0.33213284611701965,0,4.005465984344482,5
sketchfab__d3__d31d7e58b094497e877d490e4d4b66c0_None,16.808149337768555,-49.88698196411133,sketchfab__d3__d31d7e58b094497e877d490e4d4b66c0_None,batch_1,Tier 5 (勉强可用),1.48,physical,3,0,0,5,0.006025204434990883,0,0.030759986490011215,0,4.881303787231445,5,3.7614383697509766,5
sketchfab__d4__d4cbc24e939a4ff99384fd51f4825c34_2,14.133344650268555,29.357263565063477,sketchfab__d4__d4cbc24e939a4ff99384fd51f4825c34_2,batch_1,Tier 2 (高级/AAA),3.53,physical,5,3,3,4,3.6735572814941406,5,2.996342897415161,5,4.017044544219971,5,4.010053634643555,5
sketchfab__de__dec1301b26a3488e9e9f49043e3d5b2f,0.0011869388399645686,15.77038860321045,sketchfab__de__dec1301b26a3488e9e9f49043e3d5b2f,batch_1,Tier 5 (勉强可用),1.34,physical,3,0,2,1,0.04093854874372482,0,0.8577509522438049,0,0.4675053358078003,0,2.3328325748443604,0
sketchfab__e5__e5c0e848b7984cffaf1ba174f08df9fc_None,12.888781547546387,26.407543182373047,sketchfab__e5__e5c0e848b7984cffaf1ba174f08df9fc_None,batch_1,Tier 4 (手游级),2.13,physical,4,0,3,4,0.01664700359106064,0,4.204954147338867,5,3.742677688598633,5,3.855914354324341,5
sketchfab__e6__e6b4f0f77a9d4f868aca15cd7b79f712,6.522159099578857,22.96680450439453,sketchfab__e6__e6b4f0f77a9d4f868aca15cd7b79f712,batch_1,Tier 3 (游戏级),2.94,physical,4,4,2,0,4.915958881378174,5,1.3743784427642822,0,0.3347417116165161,0,2.796535015106201,5
sketchfab__e6__e6638a24a98346829f6c551fea733f4d_1,57.501914978027344,5.3755717277526855,sketchfab__e6__e6638a24a98346829f6c551fea733f4d_1,batch_1,Tier 1 (电影级),4.5,stylized,4,5,4,5,4.659521102905273,5,4.61253023147583,5,4.948753356933594,5,4.231838226318359,5
